Contract,,Strike,Strike,Bal,,Expiry,Year,Month,Day,Date,poc,Previous,Settlement,Change
"OKLI  August,2020   Put   28/08/2020   1,620",,"1,620.00",1620,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,47.90,48.10,0.00
"OKLI  August,2020   Put   28/08/2020   1,630",,"1,630.00",1630,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,54.60,55.40,0.00
"OKLI  August,2020   Put   28/08/2020   1,640",,"1,640.00",1640,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,61.80,63.10,0.00
"OKLI  August,2020   Put   28/08/2020   1,650",,"1,650.00",1650,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,69.40,71.20,0.00
"OKLI  August,2020   Put   28/08/2020   1,660",,"1,660.00",1660,36,"OKLI  August,2020   Put   28/08/2020",28/08/2020,2020,08,28,2020-08-28,put,77.30,79.70,0.00
"OKLI  September,2020   Put   30/09/2020   1,140",,"1,140.00",1140,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,160",,"1,160.00",1160,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,180",,"1,180.00",1180,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,200",,"1,200.00",1200,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,220",,"1,220.00",1220,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,240",,"1,240.00",1240,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,260",,"1,260.00",1260,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,280",,"1,280.00",1280,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,300",,"1,300.00",1300,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,320",,"1,320.00",1320,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.10,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,340",,"1,340.00",1340,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,1.50,1.50,0.00
"OKLI  September,2020   Put   30/09/2020   1,360",,"1,360.00",1360,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.30,0.10,0.00
"OKLI  September,2020   Put   30/09/2020   1,380",,"1,380.00",1380,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,0.60,0.30,0.00
"OKLI  September,2020   Put   30/09/2020   1,400",,"1,400.00",1400,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,1.10,0.50,0.00
"OKLI  September,2020   Put   30/09/2020   1,420",,"1,420.00",1420,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,1.90,1.00,0.00
"OKLI  September,2020   Put   30/09/2020   1,440",,"1,440.00",1440,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,3.10,1.90,0.00
"OKLI  September,2020   Put   30/09/2020   1,460",,"1,460.00",1460,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,4.90,3.40,0.00
"OKLI  September,2020   Put   30/09/2020   1,480",,"1,480.00",1480,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,7.60,5.60,0.00
"OKLI  September,2020   Put   30/09/2020   1,500",,"1,500.00",1500,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,11.30,8.90,0.00
"OKLI  September,2020   Put   30/09/2020   1,520",,"1,520.00",1520,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,16.10,13.40,0.00
"OKLI  September,2020   Put   30/09/2020   1,540",,"1,540.00",1540,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,22.40,19.50,0.00
"OKLI  September,2020   Put   30/09/2020   1,560",,"1,560.00",1560,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,30.00,27.30,0.00
"OKLI  September,2020   Put   30/09/2020   1,580",,"1,580.00",1580,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,39.30,36.90,0.00
"OKLI  September,2020   Put   30/09/2020   1,600",,"1,600.00",1600,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,50.10,48.20,0.00
"OKLI  September,2020   Put   30/09/2020   1,620",,"1,620.00",1620,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,62.40,61.20,0.00
"OKLI  September,2020   Put   30/09/2020   1,640",,"1,640.00",1640,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,76.10,75.80,0.00
"OKLI  September,2020   Put   30/09/2020   1,660",,"1,660.00",1660,39,"OKLI  September,2020   Put   30/09/2020",30/09/2020,2020,09,30,2020-09-30,put,91.10,91.60,0.00
"OKLI  December,2020   Put   31/12/2020   1,280",,"1,280.00",1280,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,0.80,0.30,0.00
"OKLI  December,2020   Put   31/12/2020   1,300",,"1,300.00",1300,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,1.20,0.60,0.00
"OKLI  December,2020   Put   31/12/2020   1,320",,"1,320.00",1320,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,1.80,0.90,0.00
"OKLI  December,2020   Put   31/12/2020   1,340",,"1,340.00",1340,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,2.70,1.50,0.00
"OKLI  December,2020   Put   31/12/2020   1,360",,"1,360.00",1360,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,4.00,2.40,0.00
"OKLI  December,2020   Put   31/12/2020   1,380",,"1,380.00",1380,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,5.60,3.60,0.00
"OKLI  December,2020   Put   31/12/2020   1,400",,"1,400.00",1400,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,7.80,5.30,0.00
"OKLI  December,2020   Put   31/12/2020   1,420",,"1,420.00",1420,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,10.60,7.60,0.00
"OKLI  December,2020   Put   31/12/2020   1,440",,"1,440.00",1440,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,14.00,10.60,0.00
"OKLI  December,2020   Put   31/12/2020   1,460",,"1,460.00",1460,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,18.30,14.50,0.00
"OKLI  December,2020   Put   31/12/2020   1,480",,"1,480.00",1480,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,23.50,19.30,0.00
"OKLI  December,2020   Put   31/12/2020   1,500",,"1,500.00",1500,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,29.60,25.20,0.00
"OKLI  December,2020   Put   31/12/2020   1,520",,"1,520.00",1520,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,36.70,32.20,0.00
"OKLI  December,2020   Put   31/12/2020   1,540",,"1,540.00",1540,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,44.90,40.40,0.00
"OKLI  December,2020   Put   31/12/2020   1,560",,"1,560.00",1560,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,54.10,49.90,0.00
"OKLI  December,2020   Put   31/12/2020   1,580",,"1,580.00",1580,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,64.40,60.50,0.00
"OKLI  December,2020   Put   31/12/2020   1,600",,"1,600.00",1600,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,75.70,72.30,0.00
"OKLI  December,2020   Put   31/12/2020   1,620",,"1,620.00",1620,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,88.10,85.30,0.00
"OKLI  December,2020   Put   31/12/2020   1,640",,"1,640.00",1640,38,"OKLI  December,2020   Put   31/12/2020",31/12/2020,2020,12,31,2020-12-31,put,101.40,99.20,0.00
